Year,Commit Count,Kconfig Add Count
2002,8,255
2003,50,165
2004,10,11
2005,57,81
2006,85,662
2007,79,113
2008,83,159
2009,50,63
2010,61,74
2011,26,29
2012,6,8
2013,8,9
2014,15,17
2015,16,21
2016,25,45
2017,55,74
2018,32,40
2019,9,9
2020,10,11
2021,15,19
2022,8,10
2023,4,4
