year,count
2000,172
2001,844
2002,1231
2003,711
2004,484
2005,1402
2006,1325
2007,333
2008,735
2009,550
2010,477
2011,373
2012,584
2013,209
2014,172
2015,326
2016,267
2017,153
2018,124
2019,34
2020,51
2021,22
2022,46
2023,59
