Year,Commit Count,Kconfig Add Count
2006,7,38
2007,20,36
2008,11,12
2009,1,1
2010,3,3
2011,9,9
2012,60,78
2013,60,71
2014,56,76
2015,33,40
2016,13,20
2017,8,8
2018,8,13
2019,8,8
2020,16,16
2021,14,16
2022,3,7
2023,6,11
