year,kconf_file_count,non_kconf_file_count
1999,0,1391
2000,0,4898
2001,0,5249
2002,34,1524
2003,143,1704
2004,45,1384
2005,84,1700
2006,215,6383
2007,147,5121
2008,205,4303
2009,103,2813
2010,240,3599
2011,90,1542
2012,15,409
2013,76,717
2014,25,374
2015,75,955
2016,283,1455
2017,965,2084
2018,354,1719
2019,19,716
2020,117,733
2021,32,965
2022,126,380
2023,274,396
