year,kconf_file_count,non_kconf_file_count
2000,0,1260
2001,119,4313
2002,277,4333
2003,134,1946
2004,62,1756
2005,103,5734
2006,162,6236
2007,62,859
2008,50,4549
2009,110,3301
2010,19,1944
2011,37,935
2012,12,3957
2013,47,750
2014,14,563
2015,46,1698
2016,41,2333
2017,23,1493
2018,10,395
2019,3,99
2020,6,267
2021,0,96
2022,11,110
2023,8,112
